variable,type,calibrate,cv,use_data,file,varid,nrows
biomass.BTSandHRE.AtlanticHerring,lnorm2,FALSE,0.25,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,AtlanticHerring,NA
biomass.BTSandHRE.AtlanticMackerel,lnorm2,FALSE,0.25,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,AtlanticMackerel,NA
biomass.BTSandHRE.BlackSeaBass,lnorm2,FALSE,0.15,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,BlackSeaBass,NA
biomass.BTSandHRE.Scup,lnorm2,FALSE,0.15,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,Scup,NA
biomass.BTSandHRE.SpinyDogfish,lnorm2,FALSE,0.15,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,SpinyDogfish,NA
biomass.BTSandHRE.StripedBass,lnorm2,FALSE,0.25,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,StripedBass,NA
biomass.BTSandHRE.Goosefish,lnorm2,FALSE,0.15,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,Goosefish,NA
biomass.BTSandHRE.WinterFlounder,lnorm2,FALSE,0.15,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,WinterFlounder,NA
biomass.BTSandHRE.Squids,lnorm2,FALSE,0.25,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,Squids,NA
biomass.BTSandHRE.Flounders,lnorm2,FALSE,0.15,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,Flounders,NA
biomass.BTSandHRE.SkateRays,lnorm2,FALSE,0.15,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,SkateRays,NA
biomass.BTSandHRE.Hakes,lnorm2,FALSE,0.15,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,Hakes,NA
biomass.BTSandHRE.Benthopelagics,lnorm2,FALSE,0.25,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,Benthopelagics,NA
biomass.BTSandHRE.MiscellaneousDemersals,lnorm2,FALSE,0.25,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,MiscellaneousDemersals,NA
biomass.BTSandHRE.ShallowDemersal,lnorm2,FALSE,0.25,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,ShallowDemersal,NA
biomass.BTSandHRE.WhitePerch,lnorm2,TRUE,0.1,TRUE,HRENYB_biomass.BTSandHRE-index_year.csv,WhitePerch,NA
