Predator,PredatorStage,StageNumber,SizeRange,Source,MeanDietPercent,SDAmongSimulations,NSimulationsObserved
StripedBass,"StripedBass in [0.000000, 5.000000[",1,0–5,Plankton,99.7163486162805,0.05917288348254738,100
StripedBass,"StripedBass in [5.000000, 50.000000[",2,5–50,Benthos,34.5794241605,1.5859932201506897,100
StripedBass,"StripedBass in [5.000000, 50.000000[",2,5–50,Fish,38.155782778752275,1.8087223708461713,100
StripedBass,"StripedBass in [5.000000, 50.000000[",2,5–50,Plankton,27.264793044931608,3.1776172649319467,100
StripedBass,"StripedBass in [50.000000, inf[",3,50+,Benthos,0.007121902252280896,0.0012914098586547542,100
StripedBass,"StripedBass in [50.000000, inf[",3,50+,Fish,99.99287810814052,0.0012914070144561356,100
StripedBass,"StripedBass in [50.000000, inf[",3,50+,Plankton,0,0,100
WhitePerch,"WhitePerch in [0.000000, 5.000000[",1,0.00–5.00,Benthos,50.00661529987441,15.405428564597926,100
WhitePerch,"WhitePerch in [0.000000, 5.000000[",1,0.00–5.00,Fish,5.044860988053533,2.757138323397979,100
WhitePerch,"WhitePerch in [0.000000, 5.000000[",1,0.00–5.00,Plankton,44.948523695447285,17.737898349413996,100
WhitePerch,"WhitePerch in [14.250000, inf[",3,14.25+,Benthos,49.4285964318444,17.446811571093033,100
WhitePerch,"WhitePerch in [14.250000, inf[",3,14.25+,Fish,50.57140365752097,17.446811447636065,100
WhitePerch,"WhitePerch in [14.250000, inf[",3,14.25+,Plankton,0,0,100
WhitePerch,"WhitePerch in [5.000000, 14.250000[",2,5.00–14.25,Benthos,70.90971594260276,5.390561968472543,100
WhitePerch,"WhitePerch in [5.000000, 14.250000[",2,5.00–14.25,Fish,29.09028407764298,5.390561871201198,100
WhitePerch,"WhitePerch in [5.000000, 14.250000[",2,5.00–14.25,Plankton,0,0,100
WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",1,0.0–5.0,Benthos,31.8866185445,1.1347686441048954,100
WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",1,0.0–5.0,Fish,0.1343866046539549,0.029200213954610785,100
WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",1,0.0–5.0,Plankton,67.9789949085,1.148812019516063,100
WinterFlounder,"WinterFlounder in [26.799999, inf[",3,26.8+,Benthos,0,0,100
WinterFlounder,"WinterFlounder in [26.799999, inf[",3,26.8+,Fish,100.00000001787302,3.71430388619636e-7,100
WinterFlounder,"WinterFlounder in [26.799999, inf[",3,26.8+,Plankton,0,0,100
WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",2,5.0–26.8,Benthos,87.1564676825,0.6115849089150818,100
WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",2,5.0–26.8,Fish,11.84819171541303,0.6112835136247124,100
WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",2,5.0–26.8,Plankton,0.995340619735,0.11449774520077291,100
