Simulation,Predator,PredatorStage,Source,TimeMeanPercent,NTimeStepsObserved
0,Hakes,"Hakes in [0.000000, 5.000000[",Benthos,28.4190827,20
0,Hakes,"Hakes in [0.000000, 5.000000[",Fish,2.7649180918782097,20
0,Hakes,"Hakes in [0.000000, 5.000000[",Plankton,68.815999657275,20
0,Hakes,"Hakes in [23.200001, inf[",Benthos,0,20
0,Hakes,"Hakes in [23.200001, inf[",Fish,100.00000005182946,20
0,Hakes,"Hakes in [23.200001, inf[",Plankton,0,20
0,Hakes,"Hakes in [5.000000, 23.200001[",Benthos,69.528017,20
0,Hakes,"Hakes in [5.000000, 23.200001[",Fish,30.471983444497063,20
0,Hakes,"Hakes in [5.000000, 23.200001[",Plankton,0,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [0.000000, 5.000000[",Benthos,49.76533481,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [0.000000, 5.000000[",Fish,0.5153061484435307,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [0.000000, 5.000000[",Plankton,49.71935834339,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [17.500000, inf[",Benthos,62.6074639,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [17.500000, inf[",Fish,37.39253699527358,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [17.500000, inf[",Plankton,0,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [5.000000, 17.500000[",Benthos,79.8855928,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [5.000000, 17.500000[",Fish,5.032232202678549,20
0,MiscellaneousDemersals,"MiscellaneousDemersals in [5.000000, 17.500000[",Plankton,15.082175225095,20
0,Scup,"Scup in [0.000000, 5.000000[",Benthos,80.3864476,20
0,Scup,"Scup in [0.000000, 5.000000[",Fish,0.3352382826207225,20
0,Scup,"Scup in [0.000000, 5.000000[",Plankton,19.278314129915,20
0,Scup,"Scup in [15.500000, inf[",Benthos,63.5699537,20
0,Scup,"Scup in [15.500000, inf[",Fish,36.430047236891696,20
0,Scup,"Scup in [15.500000, inf[",Plankton,0,20
0,Scup,"Scup in [5.000000, 15.500000[",Benthos,80.8553191,20
0,Scup,"Scup in [5.000000, 15.500000[",Fish,19.14468073292154,20
0,Scup,"Scup in [5.000000, 15.500000[",Plankton,0,20
0,ShallowDemersal,"ShallowDemersal in [0.000000, 5.000000[",Benthos,0,20
0,ShallowDemersal,"ShallowDemersal in [0.000000, 5.000000[",Fish,0.6491430406233627,20
0,ShallowDemersal,"ShallowDemersal in [0.000000, 5.000000[",Plankton,99.3508577627,20
0,ShallowDemersal,"ShallowDemersal in [22.100000, inf[",Benthos,0,20
0,ShallowDemersal,"ShallowDemersal in [22.100000, inf[",Fish,75.90169253436652,20
0,ShallowDemersal,"ShallowDemersal in [22.100000, inf[",Plankton,24.09830743,20
0,ShallowDemersal,"ShallowDemersal in [5.000000, 22.100000[",Benthos,0,20
0,ShallowDemersal,"ShallowDemersal in [5.000000, 22.100000[",Fish,17.833536740379895,20
0,ShallowDemersal,"ShallowDemersal in [5.000000, 22.100000[",Plankton,82.16646241962,20
