Prey,Predator,MeanDietPercent,SDAmongSimulations,NSimulationsObserved
AtlanticHerring,AtlanticHerring,0.45503562047053886,0.02952672275862867,100
AtlanticHerring,AtlanticMackerel,2.7959355895455835,0.38905004287568207,100
AtlanticHerring,AtlanticTomcod,0.4912120200546863,0.8447053779354623,100
AtlanticHerring,Benthopelagics,0.081961549560465,0.008921352311693732,100
AtlanticHerring,BlackSeaBass,1.7764546120094682,0.15797424285664344,100
AtlanticHerring,Flounders,5.98514876743395,0.4878023127041468,100
AtlanticHerring,Goosefish,1.2294508345458868,0.07754683705116865,100
AtlanticHerring,Hakes,3.45042622968292,0.2793750934993423,100
AtlanticHerring,MiscellaneousDemersals,1.0763726964311586,0.1827430197550793,100
AtlanticHerring,Scup,1.2650571363121357,0.1437576790911865,100
AtlanticHerring,ShallowDemersal,2.44946374323588,0.23600256558844157,100
AtlanticHerring,SkateRays,1.8506046143539925,0.14696751624775292,100
AtlanticHerring,SpinyDogfish,2.06481737264225,0.1702799727147969,100
AtlanticHerring,Squids,5.9440938685954,0.4598180677247796,100
AtlanticHerring,StripedBass,3.752869939552821,0.26878849332840143,100
AtlanticHerring,WhitePerch,1.2650863269141266,0.7135661066900689,100
AtlanticHerring,WinterFlounder,5.029893155499087,1.3868969702519591,100
AtlanticMackerel,AtlanticHerring,0.10564569935442579,0.008009648897763488,100
AtlanticMackerel,AtlanticMackerel,6.9561799542702785,9.27023647668978,100
AtlanticMackerel,AtlanticTomcod,0,0,100
AtlanticMackerel,Benthopelagics,4.24707759023339e-4,2.3583714922201636e-4,100
AtlanticMackerel,BlackSeaBass,0.546507767939451,0.06686388032880064,100
AtlanticMackerel,Flounders,1.7181808480438243,0.23172585318717395,100
AtlanticMackerel,Goosefish,4.286422498123188,0.28757603874102267,100
AtlanticMackerel,Hakes,1.1424702901316939,0.1369002105575687,100
AtlanticMackerel,MiscellaneousDemersals,0.2405975982776428,0.039908948113874285,100
AtlanticMackerel,Scup,0.2819021301938455,0.26019405244751026,100
AtlanticMackerel,ShallowDemersal,0.4024651379100407,0.06033461960208542,100
AtlanticMackerel,SkateRays,2.8582397081045,0.2903641522967481,100
AtlanticMackerel,SpinyDogfish,4.659125045983028,0.4518000328687759,100
AtlanticMackerel,Squids,1.248890819716202,0.05246436676216751,100
AtlanticMackerel,StripedBass,4.449438733460636,0.3857898729895884,100
AtlanticMackerel,WhitePerch,0,0,100
AtlanticMackerel,WinterFlounder,1.5490251214328363,0.5284443520222447,100
AtlanticTomcod,AtlanticHerring,0.18920635741670266,0.29253535912175066,100
AtlanticTomcod,AtlanticMackerel,0,0,100
AtlanticTomcod,AtlanticTomcod,3.3535549626334173,4.911276204002805,100
AtlanticTomcod,Benthopelagics,0.0032042452782714615,0.0053146654258605435,100
AtlanticTomcod,BlackSeaBass,0,0,100
AtlanticTomcod,Flounders,0.8417520269785036,1.2994858585207107,100
AtlanticTomcod,Goosefish,0,0,100
AtlanticTomcod,Hakes,0,0,100
AtlanticTomcod,MiscellaneousDemersals,0.9060052006242009,1.4002076207736396,100
AtlanticTomcod,Scup,0,0,100
AtlanticTomcod,ShallowDemersal,0.7285435844333389,1.1075099217645246,100
AtlanticTomcod,SkateRays,0,0,100
AtlanticTomcod,SpinyDogfish,0,0,100
AtlanticTomcod,Squids,0,0,100
AtlanticTomcod,StripedBass,0.5865118682223509,0.8984609292375669,100
AtlanticTomcod,WhitePerch,5.001926257114698,8.534039148237014,100
AtlanticTomcod,WinterFlounder,2.552040570898139,4.109868892972526,100
Benthopelagics,AtlanticHerring,5.972120348395777,0.5139611890698715,100
Benthopelagics,AtlanticMackerel,10.479250163295822,2.3793369239824878,100
Benthopelagics,AtlanticTomcod,14.721443625845902,10.827053450158731,100
Benthopelagics,Benthopelagics,0.045199667661602,0.004021775409038526,100
Benthopelagics,BlackSeaBass,3.0717020075302335,0.3026002276945566,100
Benthopelagics,Flounders,2.137759159732763,0.23316023895835608,100
Benthopelagics,Goosefish,1.725424157191734,0.20361897344844135,100
Benthopelagics,Hakes,2.7997136771918045,0.19837748030705957,100
Benthopelagics,MiscellaneousDemersals,2.527991837593945,0.29555252697966944,100
Benthopelagics,Scup,2.355537053071301,0.5233845198223848,100
Benthopelagics,ShallowDemersal,7.8187405293648125,0.7705509616827547,100
Benthopelagics,SkateRays,5.396327332005,0.5818533624853419,100
Benthopelagics,SpinyDogfish,4.13236517220375,0.4637529326273896,100
Benthopelagics,Squids,9.647491133802566,0.7322780053295643,100
Benthopelagics,StripedBass,3.1722036995419605,0.4360364991935338,100
Benthopelagics,WhitePerch,12.784066260885732,5.079115121053903,100
Benthopelagics,WinterFlounder,10.543033213155798,1.9537985086448086,100
Benthos,AtlanticHerring,0,0,100
Benthos,AtlanticMackerel,0,0,100
Benthos,AtlanticTomcod,54.17125785971667,10.21331733963316,100
Benthos,Benthopelagics,0,0,100
Benthos,BlackSeaBass,34.82203109186667,0.2824086792779323,100
Benthos,Flounders,23.4322566325,0.37510420872718087,100
Benthos,Goosefish,13.316818093166667,0.35357633493338103,100
Benthos,Hakes,18.62753573066667,0.19405949023854419,100
Benthos,MiscellaneousDemersals,47.715684624,1.0612457867558402,100
Benthos,Scup,48.46332201808333,0.35556688315732793,100
Benthos,ShallowDemersal,0,0,100
Benthos,SkateRays,63.12159252275,0.4232022397329006,100
Benthos,SpinyDogfish,53.98317375125,0.6906962325719018,100
Benthos,Squids,0,0,100
Benthos,StripedBass,11.687349491567279,0.5141162172702474,100
Benthos,WhitePerch,41.60775857157691,5.253141185972883,100
Benthos,WinterFlounder,24.58973226825,0.6810586933214924,100
BlackSeaBass,AtlanticHerring,0.8082379860836896,0.055230095451736516,100
BlackSeaBass,AtlanticMackerel,3.3051608420268113,5.433332524998746,100
BlackSeaBass,AtlanticTomcod,0,0,100
