Time (year),SkateRays
0,0.014285714
0.041666668,0.014285714
0.083333336,0.014285714
0.125,0.014285714
0.16666667,0.014285714
0.20833333,0.014285714
0.25,0.05
0.29166666,0.1
0.33333334,0.1
0.375,0.05
0.41666666,0.014285714
0.45833334,0.014285714
0.5,0.014285714
0.5416667,0.014285714
0.5833333,0.014285714
0.625,0.014285714
0.6666667,0.014285714
0.7083333,0.014285714
0.75,0.05
0.7916667,0.1
0.8333333,0.1
0.875,0.1
0.9166667,0.1
0.9583333,0.05
