"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey","AtlanticHerring in [0.000000, 4.000000[","AtlanticHerring in [4.000000, 16.700001[","AtlanticHerring in [16.700001, inf[","AtlanticMackerel in [0.000000, 1.700000[","AtlanticMackerel in [1.700000, 28.700001[","AtlanticMackerel in [28.700001, inf[","BlackSeaBass in [0.000000, 2.800000[","BlackSeaBass in [2.800000, 19.100000[","BlackSeaBass in [19.100000, inf[","Scup in [0.000000, 1.000000[","Scup in [1.000000, 15.500000[","Scup in [15.500000, inf[","SpinyDogfish in [0.000000, 80.900002[","SpinyDogfish in [80.900002, inf[","StripedBass in [0.000000, 5.000000[","StripedBass in [5.000000, 50.000000[","StripedBass in [50.000000, inf[","Goosefish in [0.000000, 5.000000[","Goosefish in [5.000000, 46.500000[","Goosefish in [46.500000, inf[","WinterFlounder in [0.000000, 0.780000[","WinterFlounder in [0.780000, 26.799999[","WinterFlounder in [26.799999, inf[","Squids in [0.000000, 1.900000[","Squids in [1.900000, 15.000000[","Squids in [15.000000, inf[","Flounders in [0.000000, 1.600000[","Flounders in [1.600000, 35.000000[","Flounders in [35.000000, inf[","SkateRays in [0.000000, 37.500000[","SkateRays in [37.500000, inf[","Hakes in [0.000000, 2.100000[","Hakes in [2.100000, 23.200001[","Hakes in [23.200001, inf[","Benthopelagics in [0.000000, 2.000000[","Benthopelagics in [2.000000, 4.000000[","Benthopelagics in [4.000000, inf[","MiscellaneousDemersals in [0.000000, 2.200000[","MiscellaneousDemersals in [2.200000, 17.500000[","MiscellaneousDemersals in [17.500000, inf[","ShallowDemersal in [0.000000, 2.300000[","ShallowDemersal in [2.300000, 22.100000[","ShallowDemersal in [22.100000, inf[","WhitePerch in [0.000000, 1.750000[","WhitePerch in [1.750000, 14.250000[","WhitePerch in [14.250000, inf[","AtlanticTomcod in [0.000000, 1.900000[","AtlanticTomcod in [1.900000, 15.000000[","AtlanticTomcod in [15.000000, inf["
1.0,"Scup in [1.000000, 15.500000[",0.0,0.080639854,0.4442734,NaN,0.15729284,1.4289786,0.0,0.6728514,0.61912084,0.0,3.0336017E-4,0.54819953,0.0699594,0.074177355,0.0,0.09906894,0.09543409,0.0,0.24438794,0.06481378,NaN,0.12193218,1.4253582,0.0,2.473298,0.32248035,NaN,0.17870459,1.6477665,0.08468462,0.13229404,0.0,0.56233245,1.4866058,0.0,0.0,0.028665567,0.0,0.3060414,1.0714598,0.0,0.046491325,0.987123,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Scup in [15.500000, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.68493104,0.0,0.0,0.025019288,0.040314768,0.2669489,0.0,0.19604291,2.5696821,0.0,1.1410514,3.4141498,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,2.4454186,0.0011480886,0.12703878,0.0,0.0,2.40203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"SpinyDogfish in [0.000000, 80.900002[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023714248,0.03560639,0.0,0.0014005227,0.65639615,0.0,0.06560124,2.3294392,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0723526,0.0,0.028697824,0.0,0.0,0.0083906725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"SpinyDogfish in [80.900002, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10002507,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"StripedBass in [0.000000, 5.000000[",0.0,8.238467E-9,0.13306923,NaN,5.199018E-4,0.15806784,9.101264E-9,8.626641E-9,0.0,0.0,3.3089734E-10,1.8233958E-8,1.4973503E-7,1.04878445E-7,5.094904E-9,3.6587366E-7,0.0,3.0978389E-9,0.0,0.0,NaN,0.0,0.0,6.550105E-8,0.70737195,0.022052106,NaN,0.0,0.0,0.0,0.0,1.7930276E-9,3.1232927E-9,0.0,7.6034473E-10,0.0,4.417805E-8,1.0265984E-8,2.60914E-10,0.0,1.5594884E-8,4.9530416E-5,0.42081878,2.4665408E-6,2.2734312E-9,1.092376E-6,NaN,0.0,0.0
1.0,"StripedBass in [5.000000, 50.000000[",0.0,0.0,0.0,NaN,7.2597906E-8,0.06535549,0.0,0.0,0.016584087,0.0,0.0,0.03829404,0.01002151,0.18521903,0.0,0.0019876831,0.32018968,0.0,0.033840656,0.90452987,NaN,7.438408E-8,0.1441498,0.0,0.012063556,0.045275144,NaN,3.8100552E-5,0.106997065,1.6051557E-7,0.0118237315,0.0,4.2212667E-4,0.086158596,0.0,0.0,0.0,0.0,0.0,0.090003125,0.0,0.0,0.037069615,0.0,0.0,4.781586E-6,NaN,0.0,0.024471486
1.0,"StripedBass in [50.000000, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04978122,0.0,0.0,2.5261976E-5,0.0,0.0,0.21747275,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Goosefish in [0.000000, 5.000000[",0.0,1.5072364E-4,0.15599397,NaN,0.0021124615,0.31512845,3.0822753E-7,3.301075E-7,0.0,0.0,1.3669106E-6,1.1121033E-7,1.9883955E-5,2.3510673E-5,0.0,8.532984E-5,0.0,1.14249794E-7,5.065607E-8,0.0,NaN,0.0,0.0,9.795307E-6,2.3075676,0.054256022,NaN,6.897974E-8,0.0,0.0,0.0,0.0,6.860959E-6,0.0,3.9744844E-8,1.7398516E-8,2.347018E-5,1.1708813E-6,1.3927136E-7,0.0,9.065684E-7,7.652371E-5,0.41636717,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Goosefish in [5.000000, 46.500000[",0.0,0.0,0.0,NaN,1.3141488E-5,0.05833083,0.0,1.7615275E-7,0.06657033,0.0,2.4711912E-12,0.16957803,0.0016343774,0.021495268,0.0,0.0018269757,0.120443,0.0,0.050343644,0.12887491,NaN,0.0,0.66880494,0.0,0.0011984595,0.064693384,NaN,2.1278004E-4,0.41803885,2.662945E-4,0.0031034218,0.0,6.5171154E-4,0.4015668,0.0,0.0,0.0,0.0,0.0,0.21545139,0.0,0.0,0.055863924,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Goosefish in [46.500000, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01488588,0.0,0.0,1.5473302E-4,0.0,0.0,0.04121558,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
