"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey","AtlanticHerring in [0.000000, 4.000000[","AtlanticHerring in [4.000000, 16.700001[","AtlanticHerring in [16.700001, inf[","AtlanticMackerel in [0.000000, 1.700000[","AtlanticMackerel in [1.700000, 28.700001[","AtlanticMackerel in [28.700001, inf[","BlackSeaBass in [0.000000, 2.800000[","BlackSeaBass in [2.800000, 19.100000[","BlackSeaBass in [19.100000, inf[","Scup in [0.000000, 1.000000[","Scup in [1.000000, 15.500000[","Scup in [15.500000, inf[","SpinyDogfish in [0.000000, 80.900002[","SpinyDogfish in [80.900002, inf[","StripedBass in [0.000000, 5.000000[","StripedBass in [5.000000, 50.000000[","StripedBass in [50.000000, inf[","Goosefish in [0.000000, 5.000000[","Goosefish in [5.000000, 46.500000[","Goosefish in [46.500000, inf[","WinterFlounder in [0.000000, 0.780000[","WinterFlounder in [0.780000, 26.799999[","WinterFlounder in [26.799999, inf[","Squids in [0.000000, 1.900000[","Squids in [1.900000, 15.000000[","Squids in [15.000000, inf[","Flounders in [0.000000, 1.600000[","Flounders in [1.600000, 35.000000[","Flounders in [35.000000, inf[","SkateRays in [0.000000, 37.500000[","SkateRays in [37.500000, inf[","Hakes in [0.000000, 2.100000[","Hakes in [2.100000, 23.200001[","Hakes in [23.200001, inf[","Benthopelagics in [0.000000, 2.000000[","Benthopelagics in [2.000000, 4.000000[","Benthopelagics in [4.000000, inf[","MiscellaneousDemersals in [0.000000, 2.200000[","MiscellaneousDemersals in [2.200000, 17.500000[","MiscellaneousDemersals in [17.500000, inf[","ShallowDemersal in [0.000000, 2.300000[","ShallowDemersal in [2.300000, 22.100000[","ShallowDemersal in [22.100000, inf[","WhitePerch in [0.000000, 1.750000[","WhitePerch in [1.750000, 14.250000[","WhitePerch in [14.250000, inf[","AtlanticTomcod in [0.000000, 1.900000[","AtlanticTomcod in [1.900000, 15.000000[","AtlanticTomcod in [15.000000, inf["
1.0,"AtlanticHerring in [0.000000, 4.000000[",0.041441876,0.05056174,0.41383603,0.0,0.05858191,0.7930691,0.0,0.06067974,0.0,0.0,0.019565744,0.0064192046,0.21970186,0.16164936,0.0,0.16168916,0.0,0.123051085,0.0,0.0,NaN,0.0,0.0,0.056870617,0.49622068,0.08922912,NaN,2.6993635,0.0,0.0,0.0,0.0,2.843182E-4,0.0,0.14725377,0.084288925,0.11941382,0.19087854,0.13001189,0.0,0.016359827,0.1997091,1.9534113,0.0,0.021491686,0.32994133,1.2048606E-4,3.802342E-5,0.022021055
1.0,"AtlanticHerring in [4.000000, 16.700001[",0.0,0.0,0.18511987,0.0,0.0018075347,3.9145498,0.0,5.3154334E-4,8.4883795,0.0,5.624729E-4,6.516539,1.0688974,1.2684008,0.0,9.254441,9.905588,0.0,5.7276835,4.7403426,NaN,2.2633045E-4,5.8165855,0.0,0.16076152,4.5399127,NaN,0.033804,18.952887,1.0769709,2.4470167,0.0,0.0098938495,14.505244,0.0,0.0,0.0,0.0,0.001673495,5.077534,0.0,1.16011106E-4,5.661614,0.0,2.4243638E-4,2.4293566,0.0,0.0018033697,2.402719
1.0,"AtlanticHerring in [16.700001, inf[",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938885,0.0,0.0,0.004649153,0.34949774,1.4522287,0.0,4.7584,16.900518,0.0,4.8197455,9.279573,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,11.497943,0.021216298,2.2505438,0.0,0.0,12.62913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,"AtlanticMackerel in [0.000000, 1.700000[",0.0,0.08184915,0.0,0.0027620036,6.2985276E-4,0.0,0.112218246,0.08698285,0.0,0.012525971,0.0,0.0,0.03734161,0.033035014,0.13530476,5.1959582E-6,0.0,0.05827687,0.0,0.0,NaN,0.0,0.0,0.051602915,0.42278284,0.0,NaN,0.0,0.0,0.0,0.0,0.01541267,5.626876E-15,0.0,0.0074113016,0.0,0.052826665,0.042582102,0.011191464,0.0,0.043610714,0.030631347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,"AtlanticMackerel in [1.700000, 28.700001[",0.0,0.21136858,2.3395731,0.0,3.2615775E-4,2.495016,0.0,0.0469162,0.6295081,0.0,5.882804E-4,0.7142847,1.1904647,1.8718154,0.0,0.6787325,3.0703208,0.0,0.9864947,4.787368,NaN,0.014403682,0.59942096,0.0,2.5333252,2.7781172,NaN,0.5824291,0.8781307,0.8683224,1.70603,0.0,0.24769786,0.763284,0.0,0.0,0.0,0.0,0.14350608,0.6506225,0.0,9.985182E-4,3.8357708,0.0,0.0,0.0,0.0,0.0,0.0
1.0,"AtlanticMackerel in [28.700001, inf[",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103406064,0.9237657,0.0,0.0,2.0512931,0.0,0.094003335,6.3114038,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.045323905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,"BlackSeaBass in [0.000000, 2.800000[",6.266023E-6,0.043075748,0.4700698,0.0,6.894237E-4,0.23523194,0.0016318784,0.043370996,1.4393993E-4,0.40716094,1.3267122E-4,0.0,0.0069399904,0.007733259,0.0030275288,3.82107E-5,0.0,4.249798E-4,3.678172E-8,0.0,NaN,0.0040303003,0.0,0.0010495178,3.5303771,0.0,NaN,0.014370536,0.0,0.0,0.0,0.0013553685,0.0016699877,0.0,2.787754E-4,2.5959313E-5,0.014498697,6.5203506E-4,1.406124E-4,0.0,0.0012029997,0.0035542892,0.7312647,0.0,0.0,0.0,0.0,0.0,0.0
1.0,"BlackSeaBass in [2.800000, 19.100000[",0.0,0.0,0.18910973,0.0,7.668157E-5,0.54782206,0.0,4.217355E-4,0.081088446,0.0,4.1256785E-6,0.3645257,0.009180681,0.009566072,0.0,0.018293569,0.016381357,0.0,0.043451574,0.001615938,NaN,5.03001E-4,1.7361399,0.0,0.54731107,0.2569807,NaN,0.005942897,0.7464585,0.0077592563,0.015394836,0.0,0.0018417612,0.5989266,0.0,0.0,0.0,0.0,0.006892677,0.66023254,0.0,5.5562883E-5,0.5804752,0.0,0.0,0.0,0.0,0.0,0.0
1.0,"BlackSeaBass in [19.100000, inf[",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11156147,0.0,0.0,0.0,6.999507E-4,0.01376088,0.0,7.821047E-4,0.321854,0.0,0.06463832,0.28482512,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.37664402,0.0,8.8600145E-4,0.0,0.0,0.50632155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,"Scup in [0.000000, 1.000000[",0.0,0.004438858,0.0,0.037054542,0.065846756,0.0,0.0067908554,0.0010097723,0.0,1.9089818E-4,5.520834E-4,0.0,0.0023670136,0.0024859265,0.0050854357,7.42045E-8,0.0,0.0056598415,0.0,0.0,NaN,0.0012751912,0.0,0.004157176,0.14420763,0.0,NaN,0.0026302617,0.0,0.0,0.0,0.02069642,0.0036752778,0.0,0.004047834,6.961801E-4,0.04454482,0.0016800376,3.7942594E-4,0.0,0.0012857787,0.043487005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
