species.accessibility2fish.sp17 = 5.7931825907865e-05,,,,,,,,,,,,,,,,,,,
species.accessibility2fish.sp18 = 0.000780323779853581,,,,,,,,,,,,,,,,,,,
species.accessibility2fish.sp19 = 0.680066668901647,,,,,,,,,,,,,,,,,,,
species.accessibility2fish.sp20 = 0.161133897424821,,,,,,,,,,,,,,,,,,,
species.accessibility2fish.sp21 = 0.998210414829078,,,,,,,,,,,,,,,,,,,
species.accessibility2fish.sp22 = 0.0110818393919026,,,,,,,,,,,,,,,,,,,
species.accessibility2fish.sp23 = 0.979324624332496,,,,,,,,,,,,,,,,,,,
species.accessibility2fish.sp24 = 0.222090853308737,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp0 = 62810.2999999998,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp1 = 32391.9799999999,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp2 = 140.230999999999,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp3 = 2374.51500000002,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp4 = 23293.2939999999,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp5 = 2559.03499999998,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp6 = 695.020000000005,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp7 = 1951.09499999999,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp8 = 71398.7800000005,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp9 = 6058.33499999997,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp10 = 17717.523,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp11 = 3156.91799999998,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp12 = 335331.813000001,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp13 = 48804.3190000005,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp14 = 14246.9760000001,,,,,,,,,,,,,,,,,,,
