"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey",AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
1.0,AtlanticHerring,0.110351615,0.0054812683,1.249353E-4,7.849281E-4,0.082605705,0.2769975,1.06126885E-4,0.031834126,0.010089173,0.24882334,0.036259115,5.8512914E-4,0.1064774,0.022603456,0.0060220254,0.01858747,0.0022515645
1.0,AtlanticMackerel,4.4803432E-4,0.003495576,0.04969492,0.0056539127,1.0075912,0.5793577,0.030108899,0.232441,0.016870737,0.92315525,0.3796935,0.015037757,0.0010161281,0.39574638,0.030792136,0.0,0.0
1.0,BlackSeaBass,1.18875454E-4,0.008236456,0.0036306654,0.0010162281,0.12439606,0.07507658,0.007315048,0.03195832,0.0026418983,0.23937015,0.054666005,0.0069836243,5.451371E-4,0.042480648,0.005358007,0.0,0.0
1.0,Scup,5.643761E-5,0.009237224,9.776696E-4,1.0779195E-4,0.24188651,0.08838567,0.0032005087,0.0036009212,0.0013339104,0.32670254,0.022894911,0.0061543775,0.0022393593,0.012243814,0.003094369,0.0,0.0
1.0,SpinyDogfish,0.0,0.0,2.634307E-6,0.0,0.038053237,0.009137697,6.955553E-5,0.0,0.0,0.035741482,2.070414E-4,2.472142E-4,0.0,0.0,0.0,0.0,0.0
1.0,StripedBass,5.5221928E-11,4.3893817E-9,2.838515E-7,6.256731E-9,0.003107387,0.0034960832,1.336769E-6,3.190775E-7,1.8591619E-9,0.0058376505,7.344564E-5,1.6230373E-5,5.886146E-11,5.607561E-6,2.1681257E-10,3.7401832E-10,3.2810168E-10
1.0,Goosefish,9.241987E-5,0.03573625,0.019123733,0.0027851975,0.15587103,0.06154162,0.018033369,0.059715565,0.008961455,0.29791534,0.0913627,0.02215581,3.171284E-4,0.10860306,0.009126719,0.0,0.0
1.0,WinterFlounder,3.8348317E-6,2.9925948E-5,4.0053787E-5,6.6019993E-6,0.044402305,0.038375467,2.9223213E-5,1.8497012E-5,3.8158065E-5,0.035271958,0.0021235836,1.6588415E-4,1.3379953E-5,6.2464905E-4,8.6319994E-4,8.3017316E-5,4.2172367E-5
1.0,Squids,0.08510231,3.5379956,2.764907,0.3157153,35.163567,25.337524,2.4511719,13.193154,1.4963397,18.363714,23.30535,4.2287965,0.51006126,15.312593,1.0344589,0.0,0.0
1.0,Flounders,9.216154E-4,5.7990805E-5,1.0455125E-5,5.9001362E-5,0.14044316,0.0384193,1.4338295E-4,9.0228516E-4,4.6532456E-5,0.09146514,0.010410059,6.2633475E-4,3.8234465E-4,0.0027479392,7.404321E-5,4.285142E-5,2.1865359E-5
1.0,SkateRays,5.807564E-7,9.870789E-4,1.213867E-4,1.6974527E-4,0.6858755,0.14530389,5.0544494E-4,0.002221413,3.3991772E-4,0.376892,0.024974173,0.0028536622,0.0,0.015244873,1.7416556E-5,0.0,0.0
1.0,Hakes,8.546721E-5,0.020222979,0.005719153,0.0044443286,0.2986691,0.067297585,0.010935212,0.01257402,0.0027023612,0.25058112,0.032169867,0.024940599,0.003200617,0.014166233,0.003981578,0.0,0.0
1.0,Benthopelagics,0.019155601,0.75624436,0.18858744,0.07992918,0.9860221,6.4515615,0.12318894,2.099186,0.26778987,1.8569726,0.8898707,0.39841464,0.8101865,1.20439,1.0735465,4.561952,4.6660986
1.0,MiscellaneousDemersals,1.5288579E-5,2.2016889E-4,6.5493165E-5,2.7535716E-4,0.6842811,0.46878144,2.0909257E-4,0.0051610623,9.663843E-5,0.47607872,0.07875278,0.004536355,6.944707E-5,0.04069855,9.828806E-5,6.303303E-5,4.802189E-4
1.0,ShallowDemersal,0.0029373025,0.004845135,0.01509561,0.01639715,1.9710953,6.6881967,6.198335E-4,1.5195267,0.04696987,2.6822703,1.1735976,0.014126903,0.008403347,3.143569,0.014394281,0.46791118,0.6587569
1.0,WhitePerch,2.4712191E-8,0.0,0.0,0.0,0.0,1.4802087E-4,0.0,4.208851E-6,0.0,1.8426757E-4,0.0,0.0,5.0530566E-8,1.8567023E-5,4.1460932E-8,2.2661457E-6,1.1381672E-5
1.0,AtlanticTomcod,4.3063433E-9,0.0,0.0,0.0,0.0,2.6111805E-4,0.0,1.308424E-6,0.0,1.7195268E-4,0.0,0.0,1.45196255E-8,3.2782784E-5,2.0551758E-8,1.4959671E-6,1.7378552E-7
1.0,Diazotrophs,0.19414851,0.22616725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27990746,0.0,0.0350101,0.012946786,0.0
