year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,NA,NA,1231.627672,1392.529192,455.5297515,620.7713942,2875.160258,7966.535224,5408.977059,2237.36367,679.3724675,341.4347707,104.6036477
2001,0,NA,NA,355.9481491,1676.749802,2631.216912,1080.935868,3537.881989,15437.51907,8259.006635,1928.901172,1049.692034,212.0498017,183.6045739
2002,0,NA,NA,759.9259392,1930.997913,2488.522803,3960.728247,13065.44111,47235.00512,30152.11758,8095.204602,1125.48487,247.6125623,16.07218649
2003,0,NA,NA,131.4810971,1031.486434,667.3454072,1576.211878,7042.236405,27633.18631,16157.19893,4266.10469,2231.577891,184.3009604,1.737584981
2004,0,NA,NA,1293.82264,1982.057847,282.1394963,654.7661957,6335.520861,20803.99152,19981.75942,8466.841965,1608.618361,390.2923184,1.27436943
2005,0,NA,NA,976.5312952,4111.936604,235.4013393,85.1643671,1001.019052,5352.318733,4843.863917,2188.097421,1333.846963,362.3897287,14.44775432
2006,0,NA,NA,1547.911397,5575.826605,2331.52133,773.3465098,6185.728128,68203.64105,59970.69148,22684.11154,4817.318555,606.1124241,114.3350834
2007,0,NA,NA,2497.312316,7897.826174,2347.264034,1138.55118,1866.724934,14345.27503,12557.63348,9244.240086,2269.989649,79.2876385,41.95175444
2008,0,NA,NA,876.6392966,5151.859097,1783.901867,3111.211171,5797.541733,50113.23519,41508.98762,10379.06709,2142.004596,143.6430047,NA
2009,0,NA,NA,5148.973752,33022.78578,8413.316476,3478.793225,7606.696219,49887.17723,42024.18043,13678.65824,2288.527226,425.8176641,65.88717261
2010,0,NA,NA,2591.328486,10282.53052,11252.79719,9340.744423,7919.171788,27442.83647,20198.16109,5035.210335,1510.24396,181.3573814,45.66137831
2011,0,NA,NA,4099.482312,24452.83205,5369.211107,1820.284444,5408.447055,36082.61794,23298.16038,5091.9189,1165.55002,419.2011679,73.92081028
2012,0,NA,NA,10414.96311,66966.82933,18052.51594,22843.72744,12696.79096,40800.33632,37478.06077,18707.1072,3644.827154,118.3240367,49.57659609
2013,0,NA,NA,906.2499772,18364.44937,10778.1547,10754.33121,12640.14077,28181.44762,20501.14515,4735.10552,1372.04872,169.8141561,61.63250163
2014,0,NA,NA,2026.73801,17106.6077,8803.818223,9395.928985,10945.78944,24085.50674,19056.11796,5728.515663,487.9370142,178.2942007,81.03893084
2015,0,NA,NA,889.8143936,15389.89021,5615.996852,7195.854456,13877.45878,29536.4118,35686.55283,40478.8417,5842.87509,163.6883266,31.04450486
2016,0,NA,NA,1239.593019,36129.49975,2962.613294,6250.411717,14587.1664,13274.14072,14576.36343,12337.85783,896.9391047,107.8630361,8.089778807
2017,0,NA,NA,397.0738183,3139.63129,2377.063664,5987.38424,20310.8887,23718.00328,14718.61412,1746.12077,194.6060745,60.59420074,NA
2018,0,NA,NA,305.253656,9896.846691,9818.253393,9974.157283,22001.29617,35070.23376,27215.67246,5155.683803,1361.096225,470.8350463,168.6858067
2019,0,NA,NA,488.5859129,7425.219496,5983.437694,15829.34165,46533.7656,43020.84506,17467.72736,5753.278863,1000.703985,80.8595567,7.106849343
