year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,8843.276342,2885.456752,510.5321254,20.71226663,12.98105516,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,3967.346741,4901.316267,267.9200353,21.94996973,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,0,11000.62899,4798.472503,684.3725033,65.51722588,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,0,4072.746296,2309.328339,92.10581639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,0,4072.114775,1773.532398,109.9366362,1.444615216,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,0,3967.574116,3684.769817,389.6281204,8.638825462,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,11375.04619,7364.759517,1090.419939,22.05141883,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,5652.749488,3222.766998,440.8243788,1.225355381,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0,4788.825451,2189.251463,470.3308836,3.327834989,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0,4484.029966,6441.984882,285.1778991,17.28417633,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,2507.488565,5246.768657,406.8490033,1.068526103,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,2054.252526,2665.347004,125.6688915,10.08408016,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0,7954.692927,8143.614199,319.4480903,27.24801518,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,10330.97768,5028.794746,419.960049,11.90222021,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0,7683.574915,7361.450347,301.410286,50.80254345,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0,4355.337979,4375.919742,320.9963581,17.02543248,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0,5527.176041,6588.598377,529.6699148,67.16577123,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0,502.886987,501.2881914,26.03209851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,0,4395.851633,2328.808715,215.5523572,22.15408333,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,0,5333.950766,3741.801683,240.9486437,21.63400961,NA,NA,NA,NA,NA,NA,NA,NA,NA
