year,period,5,15,25,35,45,55,65,75,85,95,105,115,125
2000,0,290.5185459,5785.117191,561.9192767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,0,156.2245042,2889.530178,424.5672921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,0,285.1173427,4412.428275,499.1485038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,0,597.0365001,1062.726971,13.17477427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,0,1551.517159,2732.270339,207.2322597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,0,217.0979252,7217.738192,269.4969854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,266.1641653,6658.929918,279.9876542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,571.3166314,2453.307584,108.5451892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0,939.6367828,11464.37907,170.914647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0,232.6490811,8567.601769,147.6877729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0,599.0327735,6474.255763,4399.52261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,115.1109162,8382.209517,664.4875652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0,10.90863534,4501.783397,273.5762498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0,9.991319792,5191.526622,170.9511851,NA,NA,NA,0.036196959,NA,NA,NA,NA,NA,NA
2014,0,354.7079105,6823.934123,151.5187934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0,3.398131842,8301.226719,160.2500794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0,6.506591175,9306.943941,692.5599316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0,NA,753.3268098,299.8736265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,0,3.015638584,6854.907438,791.9495927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,0,18.60346401,2201.148559,264.7124815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
