"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey",AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
1.0,AtlanticHerring,0.05895298,0.0013207056,1.9050333E-4,4.3410508E-4,0.069247715,0.23192547,0.048681226,0.026135052,0.0040434445,0.2366635,0.01977971,0.0015615139,0.12262401,0.014757883,0.0072898315,0.005759397,6.120401E-4
1.0,AtlanticMackerel,0.0021338528,0.034997735,0.31458956,0.025300931,2.540555,1.7987362,2.2672064,1.0997918,0.06274917,2.291528,1.74981,0.06656902,0.004167273,0.7688803,0.1631701,0.0,0.0
1.0,BlackSeaBass,3.5368386E-5,5.226464E-4,7.6603005E-4,2.2158911E-4,0.04530899,0.021068022,0.077306926,0.00751957,5.2776234E-4,0.0817193,0.011255899,0.001936259,1.1739586E-4,0.0042573414,0.020928474,0.0,0.0
1.0,Scup,6.347522E-5,0.005934332,0.0010660889,1.524595E-4,0.2501154,0.08112441,0.29965994,0.0018256004,5.232354E-4,0.3924762,0.011358011,0.010084027,0.0016465166,3.995947E-4,0.0013630843,0.0,0.0
1.0,SpinyDogfish,0.0,0.0,1.2928323E-5,0.0,0.04070263,0.0074190437,0.17427894,0.0,0.0,0.04583219,1.2768345E-4,6.286141E-4,0.0,0.0,0.0,0.0,0.0
1.0,StripedBass,2.7704596E-11,5.5400456E-10,1.4331946E-6,5.9314895E-9,0.0032108803,0.0035567714,0.0034956061,2.7415823E-7,7.060046E-10,0.0068108067,4.0970917E-5,4.2003387E-5,3.2774441E-10,8.1069885E-8,2.245822E-10,6.801031E-9,5.13742E-9
1.0,Goosefish,6.0510963E-10,1.472016E-6,5.1130364E-6,8.376371E-6,0.015218921,0.002737464,0.023715671,4.443381E-5,1.1014497E-6,0.024230469,7.715247E-4,2.3155844E-4,2.413535E-9,4.018331E-6,3.7142165E-8,0.0,0.0
1.0,WinterFlounder,5.773026E-6,2.0374335E-5,3.7793627E-5,1.1109929E-5,0.04205818,0.03692597,0.043061767,1.6452856E-5,4.874686E-5,0.043465674,8.970711E-4,3.812264E-4,4.3597784E-6,3.595616E-5,3.9845103E-4,3.2705918E-4,1.80402E-5
1.0,Squids,0.056280304,1.9981885,2.12646,0.28275013,27.75458,17.660402,22.349163,9.932437,0.5593182,15.707227,15.296967,2.358033,0.3979125,3.3505802,0.82244843,0.0,0.0
1.0,Flounders,0.041262753,4.6943926E-4,1.5073252E-4,6.3935394E-4,0.13039076,0.027740503,0.295634,0.0019529003,0.0017471593,0.08633312,0.002925123,0.0016636164,0.015246493,0.0037296237,0.0032185768,3.1151331E-4,0.0033740255
1.0,SkateRays,4.6373116E-6,0.0012072255,5.248259E-4,8.789724E-4,0.9193694,0.31031668,1.4836304,0.011274151,0.0012152606,0.8225758,0.041939843,0.010979758,0.0,0.0059666485,3.118576E-4,0.0,0.0
1.0,Hakes,1.2761314E-4,0.005311821,0.0020509092,0.0015001537,0.27296776,0.048633803,0.39950874,0.0063622054,6.4559147E-4,0.26559675,0.015061963,0.00566765,8.131027E-4,0.0034640136,0.0017847809,0.0,0.0
1.0,Benthopelagics,0.020751193,0.38676724,0.10680405,0.047487177,1.2981209,9.014633,0.38141733,2.7950702,0.14990063,2.4517329,1.2234107,0.23089667,0.94928175,1.1931078,0.9376284,4.0610166,5.1775613
1.0,MiscellaneousDemersals,0.026379813,0.004147154,0.00300415,0.009181096,2.5283453,3.7024462,1.3262174,0.28304395,0.008387571,1.7318243,0.44118193,0.05643912,0.053750537,0.15264966,0.019751573,0.0033405388,0.056475632
1.0,ShallowDemersal,0.0039431914,5.872537E-4,0.019299109,0.023853522,2.3186219,7.2909017,2.1688924,1.78206,0.045704175,2.3665645,1.2662822,0.037816096,0.010864699,1.320507,0.006893658,0.49945453,0.76144093
1.0,WhitePerch,2.8855787E-8,0.0,0.0,0.0,0.0,1.2518458E-4,0.0,4.7604713E-6,0.0,1.8317596E-4,0.0,0.0,7.492135E-8,4.851662E-6,1.7094007E-7,2.3736043E-6,1.1578893E-5
1.0,AtlanticTomcod,2.1492923E-9,0.0,0.0,0.0,0.0,2.049703E-4,0.0,1.4782651E-6,0.0,2.2813064E-4,0.0,0.0,1.3407094E-8,7.5978863E-7,1.27652635E-8,1.7159266E-6,1.8749802E-7
1.0,Diazotrophs,0.17731729,0.15705633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2288561,0.0,0.032427743,0.013738906,0.0
1.0,LargePhytoplankton,2.6141013E-8,3.9662504E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.291982E-7,0.0,5.186728E-7,9.561853E-8,0.0
1.0,LargeZooplankton,1.2018766,29.63918,5.991113,5.3363643,5.801433,4.62274,4.2913547,3.2377062,9.512149,4.9023147,3.5143383,12.762064,24.740194,4.73123,28.783897,9.222122,1.0954508
1.0,MediumPhytoplankton,1.8889711,0.6784867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97245264,0.0,1.0737247,0.32719633,0.0
1.0,MediumZooplankton,24.184135,26.0425,7.9690275,10.929711,1.5326649,1.4697405,0.09953997,2.8982668,9.278153,0.40463167,1.2380716,11.39577,26.128864,3.4163187,32.572212,11.902629,1.0028266
1.0,SmallPhytoplankton,38.214905,20.807785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.194687,0.0,16.241919,5.064019,0.0
1.0,SmallZooplankton,34.122852,20.235518,1.7589024,11.949158,0.0,4.945595E-5,0.0,1.5787332,0.0,0.0,0.0,1.9792895,27.178516,0.03961322,19.310633,10.323907,0.75419384
1.0,Benthos,0.0,0.0,81.70599,71.39235,54.437088,53.668575,64.267235,76.33775,80.374886,68.13806,75.16578,71.07995,0.0,84.99449,0.0,58.57617,91.14803
2.0,AtlanticHerring,0.06939472,0.001855725,1.8827993E-4,3.9616026E-4,0.06380132,0.21111344,0.092608616,0.06087067,0.009548186,0.4100037,0.03550831,0.0016147746,0.106113,0.022261342,0.0069553964,0.2860947,0.017808462
2.0,AtlanticMackerel,0.004636511,0.08335225,0.17641126,0.018336272,1.3831381,1.3586403,1.9396881,0.45545253,0.10550209,1.535783,0.5766006,0.099080145,0.021670548,0.017949404,0.037995476,0.0,0.0
2.0,BlackSeaBass,1.9458706E-5,3.1009078E-4,2.9989908E-4,7.4945485E-5,0.010987102,0.0065016677,0.057672948,8.7427103E-4,3.646359E-4,0.034517687,0.0026622426,0.002189538,1.7441786E-4,8.169101E-5,3.3899315E-4,0.0,0.0
2.0,Scup,1.2711002E-5,0.003428555,8.0268964E-4,1.7631317E-4,0.099733956,0.04438142,0.4677993,0.0018819429,8.381047E-4,0.3069197,0.004294701,0.006799789,0.0013096526,2.0203913E-4,2.544392E-4,0.0,0.0
2.0,SpinyDogfish,0.0,0.0,4.9838236E-5,0.0,0.046443686,0.018832829,0.45999083,0.0,0.0,0.1028555,1.6127162E-4,0.001702272,0.0,0.0,0.0,0.0,0.0
